siteid,amount,st
7,96,versace
7,96,парка меховая
7,94,ermano scervino
7,93,галстук-бабочка
7,93,dolce gabbana
7,93,шубы
7,93,обложка
7,93,пояс
7,93,alberto+ferreti
7,92,s+max+mara+
7,92,трикотажное+платье
7,91,chanel
7,91,футболка из хлопка
7,91,воротник
7,91,распродажа
7,91,скидки
7,90,yves salomon
7,90,лен
7,90,раздельный купальник
7,90,плавки
7,89,ботфорты
7,89,caractere
7,89,kilian
7,89,herno+
7,89,платье макси
7,89,куртка утепленная с мехом
7,88,зонты
7,88,max&co+
7,88,moncler+
7,87,чехол для iphone
7,87,солнцезащитные очки
7,87,смокинг
7,86,макси
7,86,брюки+шерсть
7,86,водолазки
7,86,292807
7,85,tom ford
7,85,россия
7,85,кошелёк
7,85,falke
7,85,etro+заколка
7,84,клетка
7,83,ободок
7,83,‘s max mara
7,83,жилет пуховый
7,83,dolce+gabbana
7,83,олимпийка
7,82,pt01
7,81,bobbi+brown
7,81,max+
7,81,etro пуховик
7,81,мех
7,80,плащи
7,80,ветровка
7,79,self portrait
7,79,костюм спортивный
7,79,salvatore ferragamo
7,78,полоска
7,78,colmar
7,78,дубленки
7,78,max mara teddy
7,77,paul
7,77,жилетка
7,77,плед
7,77,stella jean
7,77,sensai
7,76,molo
7,76,blancha
7,76,пончо
7,76,alterna
7,75,by terry
7,75,панама
7,75,ralph lauren
7,75,amouage
7,75,пуховик moncler
7,74,бабочка
7,74,barbara bui
7,73,givenchy
7,73,hugo
7,73,портфель
7,72,longchamp сумки
7,72,zimmermann
7,72,etro+рубашки
7,72,voyage by marina rinaldi
7,72,tateossian
7,71,пуховик женский
7,71,diane von furstenberg
7,71,леггинсы
7,71,jacob cohen
7,71,платье maxmara
7,71,manudieci
7,71,платье свободного кроя
7,70,купальник слитный
7,70,hermes
7,70,bosco+
7,69,missoni
7,69,sport
7,69,mc2 saint barth
7,69,dyson
7,68,jimmy+choo
7,68,marc+jacobs
7,67,пуховое пальто
7,67,iro
7,67,джемпер max mara
7,67,альпака
7,67,clarins
7,67,мюли
7,66,носки paul smith
7,66,ботильоны
7,66,baby+dior
7,66,шуба maxmara
7,66,худи
7,66,платок+из+шелка
7,66,джемпер+max+mara
7,65,брюки+max+mara
7,65,valmont
7,65,ea7 emporio armani
7,65,паспорт
7,64,шапка крупной вязки
7,64,снуд
7,64,шлепанцы
7,64,canada+goose
7,64,ремни
7,64,max mara teddy bear
7,64,платье рубашка
7,63,трикотажное платье
7,63,mac&co
7,63,сумка dkny
7,63,толстовки
7,63,вечерние платья
7,62,emporio+armani
7,62,paul+smit
7,62,сумка max mara
7,62,жилет+
7,62,полотенце
7,62,paul+shark
7,62,юбка карандаш
7,62,блокнот
7,62,блузки
7,61,костюмы
7,61,свитера
7,61,balenciaga
7,61,dorothee schumacher
7,61,кожаные брюки
7,61,пуховик+max+mara
7,60,max&+co
7,60,бренды
7,60,сумки поясные
7,59,etro рубашки
7,59,брюки+спортивные
7,59,polo ralph lauren
7,59,max mara платье
7,59,косметичка etro
7,59,bosco шапка
7,59,конверт
7,59,suncoo
7,59,джинсовая юбка
7,59,футболка+из+хлопка
7,58,21
7,58,ermano+
7,58,косметичка+etro
7,58,catya
7,58,блузка
7,58,пуховик свободного кроя
7,58,парка пуховая
7,58,max+mara+weekend+
7,57,топы
7,57,палантин
7,57,сумки+etro
7,57,солнцезащитные+очки
7,57,галстуки
7,57,кошелек etro
7,56,платье weekend
7,56,тренчи
7,56,трикотажные брюки
7,56,брюки шерсть
7,56,вельветовые брюки
7,56,gucci+
7,55,платье футляр
7,55,moschino+boutique+
7,55,удлиненный пуховик
7,54,подтяжки
7,54,etro сумка
7,54,шапка max mara
7,54,ремень etro
7,54,allude
7,54,etro косметичка
7,54,лак для ногтей
7,54,эспадрильи
7,53,стеганый пуховый жилет
7,53,браслеты
7,53,луноходы
7,53,пудра
7,53,парка женская
7,53,max+mara+пуховик
7,53,шампунь
7,53,мули
7,52,юбка+карандаш
7,52,cp company
7,52,clarisonic
7,52,пальто+max+mara+
7,52,mo&co
7,52,пуховик+женский
7,52,moschino сумка
7,52,etro+платок
7,51,клипсы
7,51,persona marina rinaldi
7,51,сумки max mara
7,51,спорт
7,51,брюки спортивные
7,51,джинсы прямого кроя
7,51,s’ maxmara
7,51,трусы
7,50,помада
7,50,запонки+
7,50,max and co
7,50,etro+шарф
7,50,жакеты
7,50,teddy
7,50,пуховики+
7,50,балетки
7,50,платья+
7,49,ремень+
7,49,куртки спортивные
7,49,платье etro
7,49,militare
7,49,etro+заколки
7,49,philosophy+di+l+serafini
7,48,moschino зонт
7,48,3lab
7,48,обложка+для+паспорта
7,48,p.a.r.o.s.h
7,48,paul smith кошелек
7,48,шляпы
7,48,ожерелье
7,48,etro+косметичка
7,48,угги
7,47,резиновые сапоги
7,47,платье+свободного+кроя
7,47,шуба из шерсти max mara
7,47,lancaster
7,47,подушка
7,47,mm6
7,47,ugg australia
7,47,michael+kors
7,46,мужское
7,46,поискmax mara
7,46,dkny сумка
7,46,shiseido
7,46,trussardi
7,46,etro+браслет
7,46,шапка maxmara
7,46,casadei
7,46,юбка из кожи
7,46,куртка moncler
7,46,шаль
7,46,парфюмерия
7,45,byredo
7,45,weekend пальто
7,45,chloe
7,45,monclear
7,45,брюки из кожи
7,45,платки
7,45,кружево
7,44,self-portrait
7,44,футболка+etro
7,44,max & co
7,44,юбка-миди
7,44,трикотажные+брюки
7,44,казаки
7,44,jog dog
7,44,рюкзак bosco
7,44,max mara studio
7,44,шарф+etro
7,44,верхняя одежда
7,44,вельвет
7,44,парка max co
7,44,сумка+etro+
7,44,agl
7,44,косметички
7,44,платье миди
7,43,бархатный
7,43,из+шерсти
7,43,чебурашка
7,43,юбка макси
7,43,bogner
7,43,drome
7,43,пальто свободного кроя
7,43,moschino couture
7,43,marc jacobs сумка
7,43,pollini
7,43,мыло
7,43,incotex
7,43,слипоны
7,43,румяна
7,43,миди
7,42,спортивные+костюмы
7,42,заколка для волос
7,42,набор
7,42,sandro
7,42,c.p. company
7,42,bally сумка
7,42,norveg
7,42,пуховик bosco
7,42,юбка+
7,42,guess
7,42,горнолыжный костюм
7,42,creed
7,42,джинсы+
7,42,платья+макси
7,42,пальто женское
7,42,тапочки etro
7,41,aeronautica-militare
7,41,брюки-кюлоты
7,41,ermanno+schervino
7,41,max&co+платье
7,41,капюшон
7,41,лак+для+ногтей
7,41,горох
7,41,tara
7,41,serapian
7,41,by malene birger
7,41,self
7,41,пальто maxmara weekend
7,41,майка
7,40,платье-рубашка
7,40,заколки
7,40,vivetta
7,40,fresh
7,40,сумка дорожная
7,40,ежедневник
7,40,шарф+
7,40,barbour
7,40,капор
7,40,штаны
7,40,clinique
7,40,wolford
7,39,lancome
7,39,толстовка на молнии
7,39,платье-мини
7,39,estee+lauder
7,39,рюкзак etro
7,39,комбинация
7,39,aletta
7,39,peuterey
7,39,laleas
7,39,weekend max mara пальто
7,39,покрывало
7,39,тренч burberry
7,39,комбинезон+
7,39,biotherm
7,38,пуховик herno
7,38,деним
7,38,болеро
7,38,боксеры
7,38,кофта
7,38,горнолыжная куртка
7,38,burberry пуховик
7,38,манжеты
7,38,куртка bosco
7,38,etro платок
7,38,пуховик ermanno scervino
7,38,fontanelli
7,38,etro платье
7,38,philosophy di l serafini
7,38,portolano
7,38,eton
7,38,erika cavallini
7,37,купальник+
7,37,брюки max mara
7,37,куртка из кожи
7,37,шорты плавательные
7,37,дождевик
7,37,спортивный+костюм+
7,37,блуза+из+шелка
7,37,etro+серьги
7,37,галстук+etro
7,37,платье+из+шелка
7,37,кожаные куртки
7,37,weekend+платье
7,37,max&go
7,37,dsquared2
7,37,tory
7,37,лоферы
7,36,кошельки
7,36,папка
7,36,frankie morello
7,36,scervino+
7,36,удлиненный кардиган
7,36,tibi
7,36,etro шарф
7,36,тени
7,36,canada
7,36,пальто пуховое
7,36,кожа
7,35,mc2
7,35,dsquared
7,35,красное платье
7,35,пуховое+пальто
7,35,etro заколки
7,35,пальто+max
7,35,maxmara пуховик
7,35,парфюм
7,35,платье-миди
7,35,marant
7,35,the fifth
7,35,чалма
7,35,diane+von+furstenberg
7,35,шарф-снуд
7,35,кошелек+etro
7,35,falcotto
7,35,платок из шелка
7,35,футболка+белая
7,35,caron
7,35,iphone
7,35,челси
7,35,tara+jarmon
7,35,giorgio+armani
7,35,serapian milano
7,35,freedomday
7,34,kors
7,34,платья+max+mara
7,34,свитер max mara
7,34,сумка gucci
7,34,birger
7,34,полупальто
7,34,джоггеры
7,34,парка+
7,34,st+barth
7,34,self+portrait
7,34,чокер
7,34,платье sportmax
7,34,сумка lancel
7,34,maison margiela
7,34,mc2+saint+barth
7,34,sand
7,34,сандалии
7,34,mimisol
7,33,etro+джемпер
7,33,coccinelle+сумка
7,33,419346
7,33,сумка+dkny
7,33,jil
7,33,шапка+
7,33,diego+m
7,33,inverni
7,33,max&co платье
7,33,пальто etro
7,33,kiehl’s
7,33,вельветовые
7,33,джинсовые куртки
7,33,diane
7,33,сумка maxmara
7,33,перчатки+
7,33,nanan
7,33,сумка+
7,32,fifa
7,32,термобелье
7,32,red+valentino+
7,32,сумка+на+пояс
7,32,пальто прямого кроя
7,32,шуба max mara
7,32,возврат
7,32,шапка+max+mara
7,32,утепленная парка
7,32,кожаные перчатки
7,32,boutique+moschino
7,32,santoni
7,32,balmain
7,32,жакет max mara
7,32,шапки+
7,32,юбка+миди
7,32,love+moschino+
7,32,nike
7,32,новинки
7,31,украшения
7,31,марина+ринальди
7,31,barleycorn
7,31,повязка
7,31,свитер крупной вязки
7,31,кепка bosco
7,31,мокасины
7,31,брюки с лампасами
7,31,поискпальто
7,31,платье комбинация
7,31,свитшоты
7,31,визитницы
7,31,платье-футляр
7,31,парка+женская
7,31,пальто+из+шерсти
7,31,юбка max co
7,31,пальто+maxmara
7,31,persona+
7,31,stone+
7,31,белая+футболка
7,31,kangra
7,31,чехол iphone
7,31,antonio
7,31,armani jeans
7,31,ferretti+
7,31,спортивные брюки
7,30,max+mara+брюки
7,30,philosophy+di
7,30,max+and+co
7,30,сумки+
7,30,норка
7,30,куртка женская
7,30,karl
7,30,dorothee+schumacher
7,30,ключницы
7,30,обувь max mara
7,30,alberto+ferretti
7,30,equipment
7,30,sonia rykiel
7,30,перчатки paul smith
7,30,weekend+max+mara+
7,30,джинсовое платье
7,30,платье с пайетками
7,30,bobbi brown
7,30,юбка+черная
7,30,бархатное платье
7,30,army
7,30,weekend max mara пуховик
7,30,manoush
7,30,митенки
7,29,burberry рубашка
7,29,‘s maxmara
7,29,юбка+макси
7,29,платья+миди
7,29,дутики
7,29,dolce & gabbana
7,29,woolrich+
7,29,розовый
7,29,isola marras
7,29,брелоки
7,29,kenzo+
7,29,strenesse
7,29,одежда+kenzo+
7,29,стеган
7,29,scervino пуховик
7,28,бумажник
7,28,пуховики etro
7,28,рубашки
7,28,куртки+спортивные
7,28,кардиган+
7,28,шапка moncler
7,28,куртка косуха
7,28,пальто пуховое удлиненное
7,28,twinset
7,28,платье weekend max mara
7,28,army+fur
7,28,maxmara платье
7,28,love+moscino
7,28,юбка из денима
7,28,сумка поясная
7,28,steiff
7,28,футляр
7,28,gun
7,28,комбинезоны
7,28,yves+salomon
7,28,поискmoncler
7,28,ex nihilo
7,28,поясная+сумка
7,28,closed
7,28,smith
7,28,зонт-трость
7,27,maxmara+пальто
7,27,футболка russia
7,27,paul+smith+носки
7,27,платье marina rinaldi
7,27,ermenegildo zegna
7,27,в+клетку
7,27,джинсовая+куртка
7,27,вышивка
7,27,max@co пальто
7,27,il+trenino
7,27,фен
7,27,запонки paul smith
7,27,piquadro
7,27,платья макси
