count	searchstring					
141	волжанка					
140	соло 6					
140	тахта малютка					
139	письменные столы					
139	прихожая «домино - 4у»					
138	туалетный стол					
138	детская кровать дельфин					
138	вытяжка					
138	адель					
136	угловые кухни					
134	байкал					
134	евро					
134	болеро					
134	кровать трансформер					
133	шкаф-купе комфорт - 12 с прямым зеркалом (д2000 х в2200 х г603 мм)					
133	стул изо					
133	кухня массив					
133	кухонный угловой диван					
133	прихожие					
132	комод угловой					
132	3188					
132	выкатной диван					
131	тумбочка					
130	ортопедическое основание					
130	8568					
130	аккордеон					
130	диван вега					
130	гламур					
129	двухъярусная					
129	тахта кордон					
129	марта-11					
128	олимп-1					
128	тумба под обувь фиеста-2					
128	столы журнальные					
127	2089					
127	прямая нога					
127	стол тумба					
127	виктория 2-1					
126	челси					
126	камод					
126	выкатной диван париж					
125	шкаф фиеста					
124	диван олимп					
123	модульная стенка ника-2					
123	кровать-чердак					
123	олива					
122	престиж					
121	кровать детская двухъярусная					
121	1406					
121	прихожая лофт					
120	шкаф для книг					
120	диван ручеёк клик-кляк (книжка)					
120	шкаф кровать					
120	киото					
119	вешалки					
119	стол под мойку					
119	стол gh-					
119	рио-2					
118	стул стремянка					
118	2189					
118	хлоя					
117	диван на кухню					
117	татьяна					
116	феникс					
115	стол кухонный					
115	боско					
115	марта-15					
114	флора					
114	стенка евро					
114	сити					
113	марго					
113	5459					
112	стенка феррара					
112	10989					
111	джуниор					
110	тв тумба					
110	трансформер					
109	модульная кухня					
109	стенки в гостиную					
108	диван виктория аккордеон 120					
108	этажерка					
108	маша					
108	ручеек					
108	6381					
108	спальный гарнитур бася					
107	детские кровати					
107	кухня бостон					
106	матрац					
106	олеся					
106	ривьера					
106	берта					
106	соренто					
106	мешок					
105	оскар 9					
105	колледж					
105	гринвуд					
105	кухня классика					
104	1989					
104	жасмин					
104	диван конкурент					
104	табуреты					
103	стол письменный мд 1.04					
103	кровать массив					
102	эрика					
102	прихожая домино					
101	6683					
101	5654					
101	флоренция					
101	антресоли					
101	мася					
101	стол экстра					
100	конти					
100	шкаф ронда					
100	евгения					
100	столы					
100	пенал ск-9					
99	кухонный стол					
99	бася 2.0					
98	конкурент					
98	лего					
98	кровать лдсп					
98	сп-2					
98	кухонные уголок					
98	тахта люкс					
97	стул пекин					
97	честер					
97	комод с зеркалом					
97	1889					
97	париж					
97	фортуна амстердам					
97	немо					
96	статус					
96	тумбы под тв					
96	диван честер					
95	кровать 2-х ярусная мийа					
95	7198					
95	соната					
95	дрима					
